german	russian
ausprobieren	испытывать, (ис)пробывать
aussehen, sieht aus, sah aus, hat ausgesehen (Es sieht so aus, als würde sich mein Traum bald erfüllen.)	выглядеть (Похоже на то, что моя мечта скоро сбудется.)
bald	скоро
die Band, -s	музыкальная группа, ансамбль
beginnen, beginnt, begann, hat begonnen	начинать
berichten	сообщать, рассказывать
berühmt	знаменитый
die Castingshow, -s	кастинг-шоу
die Charts (PI.)	чарты
davon	об этом
doch (zuerst ging es mir gut, doch dann kamen viele Probleme.)	однако, но (Вначале у меня дела шли хорошо, однако потом появилось много проблем.)
das Dorf, "-er	деревня
eigen, eigene (Er hat eine eigene Praxis eröffnet.)	собственный (Он открыл свой собственный врачебный кабинет)
einmal	когда-нибудь (в будущем)
die Eltern (PI.)	родители
die Erde (Sg.)	земля
erfolgreich	успешный
erfüllen (sich einen Traum erfüllen)	осуществить (осуществить свою мечту)
die Ernüchterung, -en	разочарование
eröffnen	открывать
die Expedition, -en	экспедиция
der/die Experte/Expertin, -n/-nen	эксперт
der Fernsehsender, - 	телецентр
folgen	следовать
frei	свободный
der Fußballplatz, "-e	футбольная площадка
geben, gibt, gab, hat gegeben (Es gibt ...)	давать (Есть...)
gefangen nehmen	пленять
gelten (als), gilt, galt, hat gegolten	слыть
geplant	запланировано
der Gesangsunterricht (Sg.)	уроки пения
die Geschichte (Sg.) (die Geschichte der Menschheit)	история (история человечества)
die Grenzerfahrung, -en	опыт, граничащий с риском
herausbringen, bringt heraus, brachte heraus, hat herausgebracht (Ich hoffe, meine Lieblingsband bringt bald ein neues Album heraus.)	выпускать (Я надеюсь, что моя любимая группа выпустит скоро новый альбом.)
das Internet (Sg.)	интернет
der/die Jugendliche, -n	подросток (юноша, девушка)
Jung, jünger, am jüngsten	молодой
kennenlernen	познакомиться, узнавать
das Kind, -er	ребёнок
der Klick, -s	щелчок (кнопкой мыши)
das Knie, -	колено
die Landschaft, -en	край, местность, ландшафт
laufen, läuft, lief, ist gelaufen (Alles läuft wie geplant.)	идти (Всё идёт по плану.)
der Lebenstraum, "-e	мечта всей жизни
der Lebensunterhalt (Sg.)	средства к жизни
der/die Lehrer/in, -/-nen	учитель
die Liebe (Sg.) (die Liebe zu etwas) 	любовь (любовь к ч.-л.)
machen (etw. aus jmd. machen)	сделать (сделать из кого-то что-то)
manche	некоторые
mäßig	умеренно, средне
die Matura (Sg.)	матура (экзамен на аттестат о полном среднем образовании)
mehrere	несколько
die Million, -en	миллион
die Minute, -n (Min.)	минута
der Moment, -e	момент
der Musikclip, -s	музыкальный клип
müssen, muss, musste, hat gemusst/müssen	быть должным/вынужденным
nachdem	после того как
der Nachmittag, -e	вторая половина дня
nächste	другой, следующий
nah, näher, am nächsten	рядом, близко
nehmen, nimmt, nahm, hat genommen (unterricht nehmen)	брать (брать уроки)
nie	никогда
die Nummer, -n	номер
nur noch	только лишь
paar (in ein paar Tagen fahren wir in den Urlaub.)	ет рааг - несколько (Через несколько дней мы уезжаем в отпуск.)
der/die Physiotherapeut/in, -en/-nen	физиотерапевт
plötzlich	внезапно, вдруг
die Praxis, Praxen	частный врачебный кабинет
der/die Profifußballer/in, -/-nen	футболист-профессионал
die Profikarriere, -n	профессиональная карьера
realistisch	реальный, реалистичный
der/die Sänger/in, -/-nen	певец
scheinen, scheint, schien, hat geschienen (Das Ziel scheint unerreichbar.)	казаться (Цель кажется недосягаемой.)
schließlich	в конце концов
schon	уже
der Schritt, -e	шаг
schwer (Er hat sich schwer am Knie verletzt.)	тяжело, тяжёлый (Он тяжело повредил себе колено.)
die Seite,- n (die Seite im Buch)	страница (страница в книге)
später	позже
der Star, -s	звезда
der Stichpunkt, -e	ключевое слово
die Tabelle, -n	таблица
der Tanzunterricht (Sg.)	урок танцев
tatsächlich	фактически, в самом деле
der Teenager, -	тинейджер, подросток
teilnehmen (an + D.), nimmt teil, nahm teil, hat teilgenommen	принимать участие
trainieren	тренировать(ся)
träumen (von + D.)	мечтать
trennen (sich) (von + D.)	расставаться
unerreichbar	недостижимый, недосягаемый
unterschiedlich	различный, разный
verbringen, verbringt, verbrachte, hat verbracht	проводить (время)
verdienen	зарабатывать
der Verein, -e	клуб (в спорте)
verkaufen	продавать
verletzen	повредить, поранить
verlieren, verliert, verlor, hat verloren	потерять 
versuchen	пробовать, пытаться
verwirklichen (sich einen Traum verwirklichen)	осуществлять (осуществить мечту)
die Völkerkunde (Sg.)	народоведение, этнография
völlig	полностью, совершенно
von... an	от, с (для обозначения исходного пункта при указании времени)
weit (die große weite Welt)	далёкий (далёкий мир)
weiterversuchen	продолжать пытаться
wenig (Die Band gibt dieses Jahr nur wenige Konzerte.)	мало, немного (Группа даёт в этом году совсем немного концертов.)
werden, wird, wurde, ist geworden/worden	стать
wie	как
wollen, will, wollte, hat gewollt/wollen	хотеть
die Wüste, -n	пустыня
zunächst	сначала
zusammenstellen	составлять, формировать, группировать, подбирать
früher (Früher war alles anders.) 	раньше (Раньше всё было иначе.)
die Situation, -en	ситуация, положение, обстановка
wer, wen, wem	кто
anhand (+ G.) 	с помощью
interessant	интересный
warum	почему
ausdrücken	выразить
der Beispielsatz, "-e	пример в форме предложения
folgend	(ниже)следующий
andere	другой, иной
der Brief, -e	письмо
die E-Mail, -s	электронная почта
das Ereignis, -se 	событие
ergänzen	дополнять
meistens	чаще всего
mündlich	устно
passieren	случаться, происходить
die Regel, -n	правило
schriftlich	письменно
die Vergangenheit (Sg.)	прошлое, прошедшее
verwenden	употреблять, использовать
wann	когда
der Zeitungsartikel, -	газетная статья
beenden	закончить
jetzt	сейчас
der Kurs, -e	курс
der/die Partner/in, -/-nen reisen	партнёр
unbedingt  	безусловно, непременно
als (Ich mag Spaghetti lieber als Pizza.)	чем (Я больше люблю спагетти, чем пиццу.)
anders	иной, иначе, по-другому
aufhören	прекращать(ся)
die Aussage, -n	высказывание
bleiben, bleibt, blieb, ist geblieben (in Kontakt bleiben)	оставаться (поддерживать контакт)
deshalb	поэтому
erkennen, erkennt, erkannte, hat erkannt	узнавать, познавать 
erzählen	рассказывать
finden, findet, fand, hat gefunden (Im Internet finde ich viele Freunde.)	находить (В интернете я нахожу много друзей.)
die Freundschaft, -en	дружба
das Geld, -er	деньги
gut, besser, am besten	хорошо
heutzutage	сегодня, в настоящее время
kaum	едва ли
kennen, kennt, kannte, hat gekannt	знать, быть знакомым
der Kontakt, -e	контакт
passen (zu + D.)	подходить, годиться
pflegen	заботиться, ухаживать
richtig (Ich habe nur zwei richtig enge Freunde.)	по-настоящему (У меня есть всего лишь два по-настоящему близких друга.)
schwierig	сложно
stressig	напряжённый
um ... zu	для того чтобы
wirklich	действительно
die Zeiten (Pl.) (schwierige Zeiten)	времена (сложные времена)
als (als ich 18 Jahre alt war, habe ich ein Studium angefangen.)	когда, в то время как (Когда мне было 18 лет, я начал обучение в ВУЗе.)
ankreuzen	отметить крестиком
brauchen	нуждаться
ehrgeizig	тщеславный
ehrlich	честный, честно
die Eigenschaft, -en	свойство, качество, черта
gebildet	образованный
großzügig	великодушный, щедрый
gut aussehend	миловидный, хорошо сложенный
die Hilfe, -n	помощь
hilfsbereit	готовый помочь
höflich	вежливый
der Humor (Sg.)	юмор
loyal	лояльный
offen	открытый
ohne (+ A.)	без
sportlich	спортивный, спортивного ътелесложения
tolerant	толерантный, терпимый
unternehmungslustig	предприимчивый
verantwortungsbewusst	ответственный, сознающий ответственность
vergleichen, vergleicht, verglich, hat verglichen	сравнивать
verschwiegen (Mein bester Freund ist wirklich sehr verschwiegen. Ich kann ihm alles erzählen.)	молчаливый, сдержанный (Мой лучший друг умеет хранить тайны. Я могу с ним обо всём говорить.)
verständnisvoll	с полным пониманием
wichtig	важный
witzig	остроумный, смешной
zuverlässig	надёжный, верный
der Abschnitt, -e	отрывок, отрезок
ankommen (auf + A.), kommt an, kam an, ist angekommen (Worauf kommt es dir in einer Freundschaft an?)	зависеть, определяться (Что для тебя важно в дружбе?)
die Aufgabe, -n	задание
beantworten	отвечать
besonders (Du bist mir besonders wichtig.)	особенно (Ты мне особенно важен.)
falsch	неверный, неправильный
die Frage, -n	вопрос
häufig	часто
hören	слушать
lösen	решать, разгадывать
passend	подходящий
der Respekt (Sg.)	уважение, респект
richtig (Ist meine Lösung richtig?)	правильный, верный (Моё решение верно?)
skypen	скайпить, общаться через $Куре
sollen, soll, sollte, hat gesollt/sollen	быть должным
streiten (sich) (mit + D.), streitet, stritt, hat gestritten	спорить, ссориться
wo	где
die Aktivität, -en	деятельность, занятие
der/die Bekannte, -n	знакомый
bestimmt (Ich habe Freunde für bestimmte Aktivitäten.)	определённый (У меня есть друзья для определённых видов деятельности.)
das Netzwerk, -e	сеть
nummerieren	нумеровать
die Phase, -n	фаза
der Radiobeitrag, "-e	радиорепортаж
die Reihenfolge, -n	последовательность, очерёдность
die Unterscheidung, -en	различие
die Erfahrung, -en	опыт
kurz, kürzer, am kürzesten	коротко, вкратце
wählen	выбрать
denken, denkt, dachte, hat gedacht (Ich denke, dass ...)	думать (Я думаю, что...)
die Meinung, -en	мнение
das Redemittel, -	выражение, оборот речи
sammeln	собирать
der Beruf, -e	профессия
danach	после этого
das Ergebnis, -se	результат
die Familie, -n	семья
führen (zu + D.) (zu Problemen führen)	приводить (к ч.-л.) (приводить к проблемам)
informieren (über + A.)	информировать, ставить в известность
das Problem, -e	проблема
die Rolle, -n	роль
spielen (eine/keine Rolle spielen)	играть (играть роль / не играть никакой роли)
stehen, steht, stand, hat gestanden (an erster/letzter Stelle stehen)	стоять (стоять на первом/последнем месте)
die Stelle (Sg.) (Familie steht für mich an erster Stelle.)	место (Семья для меня стоит на первом месте.)
erklären	объяснять
die Redewendung, -en	выражение, оборот речи
der Reim, -e	рифма
das Sprichwort, "-er	пословица
suchen	искать
bezeichnen	называть, обозначать
der/die Held/in, -en/-nen	герой
verbessern	улучшать
verstehen (unter + D.), versteht, verstand, hat verstanden (Was versteht du unter diesem Ausdruck?)	понимать (Что ты понимаешь под этим выражением?)
zum Beispiel	например
der Grund, "-e	основание, причина
die Umfrage, -n	опрос
der/die Arme, -n	бедняк, бедный человек
das Armenviertel, - 	квартал бедных
bekommen, bekommt, bekam, hat bekommen	получить
die Chemie (Sg.)	химия
einsetzen (sich) (für/gegen + A.) (sich gegen Rassismus einsetzen)	выступать за/против (выступать против рассизама)
das Element, -e	элемент
entdecken	открыть, сделать открытие
gegen (+ A.)	против
die Gleichstellung (Sg.)	равнопрваие, уравнивание прав
helfen, hilft, half, hat geholfen	помогоать
kämpfen (für/gegen + A.)	сражаться за/против
kümmern (sich) (um + A.)	заботиться о
der/die Leprakranke, -n	больной лепрой (проказой)
der Mann, "-er	мужчина, человек
mithilfe (+ G.)	с помощью
der Name, -n	имя, фамилия
radioaktiv	радиоактивный
der Rassismus (Sg.)	рассизм
umkreisen	облететь вокруг
der Weltraum (Sg.)	космос, вселенная
zuordnen	соотносить
der Alltag (Sg.)	будни
an (+ D.) (an diesem Tag)	в (в этот день)
beide	оба
bis (+ D.) (Ich brauche Ihre Antwort bis morgen.)	до (Мне нужен Ваш ответ до завтра.)
der Einsatz, "-e	участие, внедрение
erreichen	достигать
ertrinken, ertrinkt, ertrank, ist ertrunken	тонуть
fallen, fällt, fiel, ist gefallen	падать
fassen	хватать
der Gedanke, -n	мысль
gelingen, gelingt, gelang, ist gelungen	удаваться
herausziehen, zieht heraus, zog heraus, hat herausgezogen	вытаскивать
der Junge, -n	мальчик
die Kraft, "-e	сила
laut	громко
lebensrettend	для спасения жизни
letzte	последний, прошлый
loslassen, lässt los, ließ los, hat losgelassen	освобождать, отпускать
die Maßnahme, -n	мероприятие, мера
nahegehen, geht nahe, ging nahe, ist nahegegangen (Die Trennung von meinem Freund geht mir immer noch sehr nahe.)	потрясать, задевать за живое, являться большим ударом (Я до сих пор тяжело переживаю расставание с моим другом.)
nicht mehr	не, уже не, больше не
retten (vor + D.)	спасти от
die Rettung, -en	спасение
rufen, ruft, rief, hat gerufen (um Hilfe rufen)	звать (звать на помощь)
schaffen (Ich glaube, ich schaffe die Prüfung morgen nicht.)	сделать, справиться (Я думаю, что я завтра не сдам экзамен.)
sofort	тотчас, немедленно
der Sohn, "-e	сын
springen, springt, sprang, ist gesprungen	прыгать
stark, stärker, am stärksten	сильный, мощный
die Strömung, -en	течение
der Tag, -e	день, сутки
überleben	выжить, остаться в живых
überlegen	обдумывать
das Ufer, - 	берег
unter (+ D./A.) (unter dem/den Tisch)	под (под столом / под стол)
untergehen, geht unter, ging unter, ist untergegangen	тонуть
vierjährig	четырёхлетний
das Wasser, -	вода
zusammenfassen	обобщать, подводить итог
heldenhaft	героический
abwechslungsreich	разнообразный, занимательный
die Bahnhofsmission, -en	церковная организация, помогающая пассажирам на вокзале
begleiten	провожать
behindert	физически неполноценный
belegt (belegte Brote)	обложенный (бутерброд)
der/die Biograf/in, -en/-nen	биограф
das Brot, -e	хлеб
circa (ca.)	приблизительно, примерно
dankbar	благодарный
ehrenamtlich	добровольно, на общественных началах
gefallen, gefällt, gefiel, hat gefallen	нравиться
gerade (Ich habe gerade meine Ausbildung begonnen.)	как раз (Я только начал своё образование.)
interessieren (sich) (für + A.)	интересоваться
der Kaffee, -s	кофе
kochen	варить, заваривать (о чае)
krank, kränker, am kränksten	больной
der Mitmensch, -en	ближний (о человеке)
der Ort, -e	место
der/die Reisende, -n	путешественник, пассажир
die Reiseverbindung, -en	маршрут следования
der Smalltalk (Sg.)	непринуждённая беседа
tätig	деятельный, активный
der Tee, -s	чай
treffen, trifft, traf, hat getroffen (eine Person treffen)	встретить (встретить человека)
umsteigen, steigt um, stieg um, ist umgestiegen	пересесть
verschieden	различный
warm	тёплый
weitere (Hast du noch weitere Vorschläge?)	другие (У тебя ещё есть другие предложения?)
der Zug, "-e	поезд
ordnen	приводить в порядок
das Buch, "-er	книга
das Essen, -	еда
gehören	принадлежать
schmecken (nach + D.)	быть по вкусу, нравиться
bekannt	знаменитый
biografisch	биографический
engagieren (sich) (für/gegen + A.)	вступиться, стать на сторону, выступать в защиту
erforschen	исследовать
experimentieren (mit + D.)	эксперементировать, производить опыты
formulieren	формулировать
gründen	основывать, учреждать
die Herkunft, "-e	происхождение
die Leistung, -en	производительность, успеваемость
organisieren	организовывать
untersuchen	исследовать
aushängen	вывесить
der Drache, -n	дракон
das Hufeisen, -	подкова
die Katze, -n	кошка
das Kleeblatt, "-er	лист клевера
das Marzipanschwein, -e	свинка из марципана
der Rabe, -n	ворон
schwarz, schwärzer, am schwärzesten	чёрный
die Spinne, -n	паук
die Sternschnuppe, -n	падающая звезда
das Symbol, -e	символ
das Unglück (Sg.)	несчастье
vierblättrig	четырёхлистный
die Winkekatze, -n	манэки-нэко ("кот счастья", "денежный кот")
die Zahl, -en	число
der Buchstabe, -n	буква
das Glückssymbol, -e	символ счастья
das Land, "-er (die Länder der Erde)	страна (страны мира)
das Unglückssymbol, -e	символ несчастья
der Begriff, -e	понятие
die Entspannung (Sg.)	отдых, успокоение
die Freiheit, -en	свобода
der Frieden (Sg.)	мир, согласие
die Harmonie (Sg.)	гармония
das Haus, "-er	дом
das Hobby, -s	хобби
die Karriere, -n	карьера
die Natur (Sg.)	природа
der Reichtum, "-er	богатство
die Ruhe (Sg.)	тишина, спокойствие
die Schönheit (Sg.)	красота
das Wort, "-er	слово
die Auswahl (Sg.)	выбор
begründen	обосновать, мотивировать
die Behandlung, -en	лечение
die Gesundheit (Sg.)	здоровье
leisten (sich) (Ich bin reich und kann mir viele Kleider leisten.)	позволить себе (Я богатая, и могу себе позволить купить много платьев.)
medizinisch	медицинский
das Alter (Sg.)	возраст
bearbeiten	обрабатывать
endlich	наконец, в конце концов
komplex	комплексный
markieren	отмечать, помечать
ob	ли
scheiden lassen (sich)	развестись
das Schlüsselwort, "-er	ключевое слово
der/die Sprecher/in, -/-nen	спикер, представитель (выступающий от имени организации), говорящий
die Strategie, -n	стратегия
der Studienplatz, "-e	место в вузе, учебное место
die Übereinstimmung, -en	соответствие, согласие
unglücklich	несчастный
der Unterschied, -e	различие
unterstreichen, unterstreicht, unterstrich, hat unterstrichen	подчёркивать
die Weiterbildung, -en	продолжение образование, повышение квалификации
zwischen (+ D./A.)	между
also (also, ich möchte heute ... präsentieren.)	итак (Итак, я хотел бы сегодня показать...)
die Ansicht, -en (Ich bin der Ansicht, dass )	взгляд, мнение (Я считаю, что...)
äußern	высказывать
da (Da hast du völlig recht.)	тут, там (Тут ты полностью прав.)
genau (Ich finde Neid doof. - Ja, genau.)	точно (Я считаю зависть глупой. - Да, точно.)
ja (Bist du traurig? - Ja, leider.)	да (Ты грустишь? - Да, к сожалению.)
recht (Du hast recht.)	верный (Ты прав.)
sehen, sieht, sah, hat gesehen (Ich sehe das anders als du.)	видеть (Я вижу это иначе, чем ты.)
der Standpunkt, -e	точка зрения
stimmen	соответствовать истине, быть верным
die Überschrift, -en	заголовок
überzeugt sein (von + D.)	быть убеждённым
widersprechen, widerspricht, widersprach, hat widersprochen	возражать
wissen, weiß, wusste, hat gewusst	знать
zustimmen	одобрять, соглашаться
der Zweifel, -	сомнение
zweifeln (an + D.)	сомневаться
abhängen (von + D.)	зависеть
das Aussehen (Sg.)	внешний вид
außen (von außen)	снаружи (извне)
die Beziehung, -en	отношение
die Bildung (Sg.)	образование
dauerhaft	длительный, долговременный
die Erfüllung (Sg.)	исполнение, осуществление
glücklich	счастливый
innen	внутри, изнутри
der Prozess, -e	процесс
die Qualität, -en	качество
sondern (Glück kommt nicht von außen, sondern von innen.)	а, но (Счастье приходит не извне, а изнутри.)
der Wunsch, "-e	желание
der Zustand, "-e	состояние
abergläubisch	суеверный
die Aktentasche, -n	портфель
anhaben, hat an, hatte an, hat angehabt (Heute habe ich zum ersten Mal mein neues Kleid an.)	носить, быть одетым (Сегодня я впервые надела своё новое платье.)
ankommen, kommt an, kam an, ist angekommen (Ich komme um 3 Uhr am Bahnhof an.)	прибывать (Я буду в 3 часа на вокзале.)
ansetzen (Er setzte das volle Glas an und trank es leer.)	подносить к губам (Он поднёс полную кружку к губам и выпил её до дна.)
anstellen (Jeden Morgen stelle ich als Erstes die Kaffeemaschine an.)	включать (Каждое утро первым делом я включаю кофеварку.)
der Arm, -e (im Arm halten)	рука (держать на руках)
aufstehen, steht auf, stand auf, ist aufgestanden	вставать
das Bad, "-er	ванная комната
der Balkon, -e	балкон
belehren (jmd. eines Besseren belehren)	поучать, наставлять (вразумлять к.-л.)
besondere	особый, особенный
das Bett, -en	кровать
der Blogeintrag, "-e	сообщение в блоге
der/die Blogger/in, -/-nen	блоггер
bloß (Wenn ich bloß nicht so faul gewesen wäre!)	же (Не был бы я таким ленивым!)
der/die Cheflin, -s/-nen	шеф, начальник
das Datum, Daten	дата
deswegen	поэтому
doch (Du kennst mich doch!)	ведь (Ты ведь меня знаешь!)
durch (+ A.)	из-за
durchmüssen, muss durch, musste durch, hat durchgemusst (Die Prüfung dauert drei Stunden. Da musst du einfach durch.)	иметь необходимым преодолеть трудности (Экзамен длится три часа. Ты должен справиться.)
durchsehen, sieht durch, sah durch, hat durchgesehen	просматривать
einfallen, fällt ein, fiel ein, ist eingefallen	приходить на ум
einschenken (Hast du Durst? Ich schenke dir ein Glas Wasser ein.)	наливать (Ты хочешь пить? Я налью тебе стакан воды.)
enden	заканчиваться
die Erleichterung (Sg.)	облегчение
die Ersatztube, -n	запасной тюбик
erwachen	очнуться
feststellen	заметить, понять
der Freitag, -e	пятница
der Fuß, "-e	нога, стопа
ganze (Er kam ganze 45 Minuten zu spät.)	целые (Он опаздал на целых 45 минут.)
gar	совсем
die Garage, -n	гараж
gedacht (Der Tag endete anders als gedacht.)	быть запланированным (День закончился не так, как предполагалось.)
gestern	вчера
das Glas, "-er (ein Glas Wasser)	стакан (стакан воды)
greifen (nach + D. / zu + D.), greift, griff, hat gegriffen	взять
hallo	привет
halten, hält, hielt, hat gehalten (jmd. im Arm halten)	держать (держать на руках)
die Hand, "-e	рука, ладонь
hängen, hängt, hing, hat gehangen	висеть
das Hemd, -en	рубашка
herzlich	сердечно
heutig	сегодняшний
hinter (+ D./A.)	за, позади
holen	доставлять
die Hose, -n	штаны
die Kaffeekanne, -n	кофейник
der Knall (Sg.)	грохот
die Küche, -n	кухня
laufen, läuft, lief, ist gelaufen (Ich laufe über den Teppich.)	бегать, идти (Я бегаю по ковру.)
legen (sich) (sich ins Bett legen)	лечь (лечь в постель)
liegen, liegt, lag, hat gelegen (auf dem Schreibtisch liegen meine Unterlagen.)	лежать (На письменном столе лежат мои документы.)
machen (einen Satz aus dem Bett machen)	делать (выпрыгнуть из кровати)
die Maschine, -n	машина
das Meeting, -s	собрание, встреча
der Morgen, - (Heute Morgen hat der Wecker geklingelt.)	утро (Сегодня утром звонил будильник.)
die Müllabfuhr (Sg.)	вывоз мусора
die Mülltonne, -n	мусорный контейнер
die Nacht, "-e	ночь
der Nachttisch, -e	ночной столик, тумбочка
nass	мокрый, влажный
natürlich (Natürlich hast du wieder vergessen, Zahnpasta zu kaufen.)	конечно (Ты снова, конечно же, забыл купить зубную пасту.)
