german,russian
die Bibliothek [biblioˈteːk],библиотека
dabei,при этом
Eltern,родители
einige Bücher [ˈaɪ̯nɪɡə],некоторые книги
das Fach - Fächer,"предмет, специальность"
der Fàchmann,специалист
die Hàusàufgabe,домашнее задание
der Hörsaal,лекционный зал
das Jahr,год
der Junge,юноша
kaufen,покупать
der Kugelschreiber,шариковая ручка
lächeln/lachen,улыбаться/смеяться
das Land - Länder,страна
der Märts,март
dauern,"длиться, продолжаться"
zwölf,12
so heißt eben,вот именно так и называется
bringen [ˈbʁɪŋən],приносить
bis,до
éinfach,просто
zu,к
die Fart,поездка
das Lehrbuch,учебник
modérn,современный
nennen,называть
nehmen,брать
aus,из
der November,ноябрь
der Oktober,октябрь
der Platz,площадь
der Füller,авторучка
elf,11
das Bücherregal,книжная полка
die Erzälung,рассказ
die Fremdsprache,иностранный язык
das Mädchen [ˈmɛːtçən],девочка
die Novelle,новелла
vergessen,забывать
nach,после
der Vórtrag,доклад
tausend  [ˈtaʊ̯zn̩t],тысяча
der Bücherschrank  [-ŋk],книжный шкаф
entlang,вдоль
der Raum - Räume,помещение
der Sónntag,воскресенье
seit,в течение
das Studium,учеба
überall,повсюду
bekommen,получать
die Stadt - Städte [ʃtat],город
um,"вокруг, около"
überhaupt,вообще
die Woche [-x-],неделя
die Stunde,урок
unterrichten,преподавать
mit,"с, вместе"
voll,полный
vórbereiten,готовить
außer,кроме
die Vórlesung,лекция
befinden sich,находиться
wichtig,важно
das Wörterbuch,словарь
ànders,иначе
die Zeitung,газета
von,от
beschäftigen sich,заниматься
der Arbeiter [àr-],рабочий
der Arbeitstag,рабочий день
die Zeitschrift,журнал
gegenüber,напртив
zurückkehren,возвращаться
bei,"у, при"
einen Vortrag halten,читать доклад
Anfang Septémber,в начале сентября
durch,через
Ende Oktober,в конце октября
Mitte November,в середине ноября
für,для
abends [-ts],вечером
ohne,без
gegen,против
unbedingt,непременно
Das ist viel zu früh,это слишком рано
das schon,это так
aber ich bitte Sie!,Да что вы! (Помилуйте)
das Abendessen,ужин
das Abendbrot,ужин
aufbleiben,не ложиться спать
ausruhen,отдыхать
beginnen,начинать
der Beruf,профессия
éinkaufen,делть покупки
aussteigen [-ʃtaɪ̯ɡn̩],выходить
ànziehen sich,одеваться
der Betrieb,предприятие
gerade,как раз
manchmal [ç],иногда
erholen sich,отдыхать
das Essen,еда
erwachen [-xn],просыпаться
der Fernstudent,студент-заочник
fréitags [-ks],по пятницам
frühmorgens,ранним утром
genau,точно
gesund [-t],здоровый
sorgen,заботиться
das Mittagessen -[k-],обед
mittwochs [`mitvoxs],по средам
wérktags,по рабочим дням
éinschlafen,засыпать
móntags,по понедельникам
die Nacht - Nächte,ночь
nie,никогда
sicher [`zi-],наверняка
der Plan - Pläne,план
erzählen,рассказывать
den Bus nehmen,ехать на автобусе
planen,планировать
pünktlich,точно
rasieren sich,бриться
der Schlaf,сон
zwischen,между
schnell,быстро
sonnàbends,по субботам
sonntags,по воскресеньям
der Tagesplan,расписание
die Pause,перерыв
turnen,заниматься гимнастикой
das Bett,кровать
ùmsteigen,делать пересадку
waschen sich,мыться
auf,на
wieviel [`vi:-],сколько
um diese Zeit,в это время
die Zähne putzen,чистить зубы
kämmen sich,причесываться
den Haushalt besorgen,вести хозяйство
hinter,позади
den Tisch decken,накрывать на стол
den Tisch abräumen,убирать со стола
éinsteigen,входить (в тр-т)
zu Fuß gehen,идти пешком
zu Abend essen,ужинать
neben,около
vor,перед
allein,один
die Decke,потолок
der `Eßtisch,обеденный стол
der `Fußboden,пол
sauber,чистый
das Stóckwerk,этаж
die Wand - Wände,стена
das Bad - Bäder,ванная комната
der Fàhrstul ~stüle,лифт
hängen,висеть
die Küche,кухня
der Kühlschrank,холодильник
die Tasse,чашка
trinken,пить
der Schreibtish,письменный стол
der Vórhang,"занавеска, штора"
zugleich,одновременно
ànrufen,звонить по телефону
das Bild,картина
der Neubau,новостройка
die Nummer,номер
Möbel,мебель
kurz,короткий
legen,"класть, положить"
der Gast - Gäste,гость
die Ecke,угол
die Einrichtung,оборудование
die Blume,цветок
der Sessel,кресло
stellen,ставить
vorbeikommen,проходить мимо
treten,входить
die Wohnung,квартира
die Mitte ,середина
besichtigen,осматривать
bequém,"удобный, удобно"
die Déckenleuchte,люстра
éigentlich,собственно говоря
das Esszimmer,столовая
freuen sich,радоваться
das Gebäude,здание
der Kàffee [`kafe:],кофе
sitzenbleiben,продолжать сидеть
der Teppich [ç],ковер
das Werk,произведение
der Stuhl - Stühle,стул
das Schlafzimmer,спальня
hell,светлый
Geschwister,брат и сестра
das Geschenk,подарок
gemütlich,"уютный, уютно"
das Wiedersehen,встреча
Besuch haben,принимать гостей
einverstanden sein mit,быть согласным с
der Einbauschrank,стенной шкаф
dunkel,темный
schmutzig,грязный
amüsieren sich [-`zi:ren],развлекаться
bummeln,"гулять, бродить"
der Fernseher,телевизор
der Fluß - Flüsse,река
die Gesundheit,здоровье
das Interesse,интерес
làngweilen sich,скучать
malen,рисовать
raten,советовать
es regnet,идет дождь
das Wochenende,уикенд
der Zoo [tso:],зоопарк
der Zirkus,цирк
ändern,изменить
die Briefmarke,почтовая марка
éinladen,приглашать
Ferien,каникулы
frei,свободный
hierhér,сюда
musizieren,музицировать
schwimmen,плавать
spielen,играть
reisen,путешествовать
verspréchen,обещать
treffen,встречать
ànsehen sich (дат.),смотреть
aufmerksam,внимательно
das Ausland,заграница
ausschalten,выключать
die `Ausstellung,выставка
baden,купаться
bàsteln [-st-],мастерить
der Baum - Bäume,дерево
der Chor [ko:r],хор
draußen,снаружи
éinschalten,включать
die `Erholung,отдых
die Frage,вопрос
die Freizeit,свободное время
fühlen sich,чувствовать себя
géstern [-s-],вчера
die Héimat,родина
die Jahreszeit,время года
kalt,холодный
kennenlernen,познакомиться
die Kinokarte [`ki-],билет в кино
kräftig,сильный
der Maler,художник
die Möglichkeit,возможность
müde,усталый
die Natur,природа
offen,открытый
die Reise,путешествие
sammeln,собирать
der Schauspieler,артист
scheinen,светить
es schneit,идет снег
selbst,"сам, даже"
singen,петь
der Sommersport [ш],летний спорт
die Sonne,солнце
sonnen,загорать
die Sportart [ш],вид спорта
das Stadion [ш],стадион
ständig,постоянный
täglich,ежедневно
der Theaterbesuch [teatr-],посещение театра
das Theaterstück,пьеса
der Tourist [tur`ist],турист
der Urlaub [`urlaup],отпуск
die `Erholungsheim,дом отдыха
verbringen,проводить
das Vergnügen,удовольствие
verschieden,различный
`vorschlagen,предлагать
der Wald - Wälder[-t],лес
warm,теплый
weiß,белый
das Wetter,погода
zelten,жить в палатках
es gibt,имеется
Reisevorbereitungen treffen,готовится к отъезду
Sport treiben,заниматься спортом
am Fluß,на берегу реки
Boot fahren [bot],кататься на лодке
Rad fahren,ездить на велосипеде
wie bekannt,как известно
zu jeder Jahreszeit,во всякое время
auf dem Lande,за городом
Schneeschuh laufen,бегать на лыжах
einen Ausflug machen,совершить экскурсию
Schlittschuh laufen,бегать на коньках
auf Urlaub fahren,ухать в отпуск
der Film läuft,фильм идет
eine Karte besorgen,купить билет
geöffnet sein,быть открытым
Wie geht es Ihnen?,Как вы поживаете?
seit gestern,со вчерашнего дня
ab heute,с сегодняшнего дня
ab morgen,с завтрашнего дня
heiß,жарко
langsam,медленно
weltbekannt,всемирно известный
wieso,как это
der Passant -en,прохожий
nicht umsonst,не напрасно
der Aufbau,строительство
der Bär -en,медведь
der Bahnhof -höfe,вокзал
bauen,строить
das Bauwerk,строение
das Kaufhaus -häuser,универмаг
begleiten,провожать
der Bezirk [be`tsirk],район
blau,синий
die Vergangenheit,прошлое
das Denkmal,памятник
dorthin,туда
der Frieden,мир
der Einwohner,житель
entstehen,возникать
die Sehenwürdigkeit,достопримечательность
erheben sich,подниматься
erinnern [`er`inner],вспоминать
stattfinden,состояться
errichten,сооружать
die Fahne,флаг
die Grünanlage,сквер
die Fahrkarte,билет
breit,широкий
der Feiertag,праздник
das Wohnviertel,жилой квартал
der Fernsehturm - türme,башня
der Werktätige,трудящийся
die Freude,радость
wachsen,расти
friedlich,мирный
der Gedanke,мысль
das Glück,счастье
die Hauptstadt,столица
das Jahrhundert,столетие
jährlich,ежегодно
jung,молодой
kämpfen,бороться
der Krieg,война
das Licht,свет
rege,оживленный
riesengroß,колоссальный
herrschen,"господствовать, царить"
schmücken,украшать
der Stadtrand -ränder,окраина
die Stadtrundfahrt,поездка по городу
stark,сильный
das Verkehrsmittel,транспортное средство
träumen,мечтать
verabschieden sich,прощаться
verändern sich,изменяться
das Geschäft,магазин
der Verkehr,движение
die Gegenwart,настоящее
verlaufen sich,заблудиться
das Volk -Völker,народ
der Wagen,машина
wirtschaftlich,хозяйственный
die Wissenschaft,наука
die `Zukunft,будущее
zum ersten Mal,в первый раз
das freut mich,это меня радует
Wie komme ich zu +(dat),как мне пройти
um die Ecke biegen,повернуть за угол
die Fahrkarte lösen,купить билет
in Richtung zu,в направлении к
nach dem Krieg,после войны
...Meter hoch sein,иметь высоту ...
un Berlin herum,вокруг Берлина
von Anfang an,сначала
von Kindheit an,с детства
vor fünf Jahren,пять лет тому назад
zu zweit,вдвоем
"zu dritt, zu acht","втроем, в восьмером"
mitteilen,сообщать
abschreiben,переписывать
die Kenntnis,знание
die `Ausbildung,образование
überzeugen,убеждать
auszeichnen sich,отличаться
der Garten -Gärten,сад
der Band - Bände,том
holen,приносить
begapt,способный
die Vergangenheit,прошлое
betrachten,рассматривать
empfehlen,рекомендовать
erfahren,узнавать
letzt,последний
seitdem,с этих пор
erwarten,ожидать
fast,почти
die `Ausgabe,издание
fortfahren,продолжать
fortsetzen,продолжать
die Freiheit,свобода
der Geburtstag [-rtstak],день рождения
der Artikel [ˌaʁˈtiːkl̩],статья
das Gedicht,стихотворение
gemeinsam,вместе
die Geschichte,история
gewiß,конечно
die Bedeutung,значение
widmen,посвящать
der Held,герой
hervorragend,выдающийся
jedoch,однако
der Kampf -Kämpfe,борьба
beenden,оканчивать
der Kampfgefährte,соратник
erscheinen,появляться
das Leben,жизнь
leichfallen,даваться легко
leiten,руководить
meinen,"думать, полагать"
der Mitarbeiter,сотрудник
nemand,никто
das Rußland,Россия
selbstverständlich,само собой разумеется
selten,редкий
die Tätligkeit,деятельность
übersiedeln,переселиться
der Verwandte,родственник
vorhaben,намереваться сделать
der Weg,дорога
wenden sich,обращаться (к...)
erlernen,изучать
eine Sprache beherrschen,владеть языком
auf dem Gebiet,в области (чего-л.)
Freude machen,доставлять радость
geschrieben stehen,быть написанным
auf Wunsch,по желанию
die Rede ist von (dat),речь идет о...
zur Verfügung stehen,находится в распоряжении
bis jetzt,до сих пор
müssen,должен (моральный долг)
sollen,"должен (приказ, просьба)"
können,"могу (способность, умение)"
dürfen,могу (разрешение)
wollen,хочу (твердое желание)
mögen,хочу (хотелось бы)
wissen,знать
man muß nicht,не нужно
man soll nicht,не следует
man kann nicht,невозможно
man darf nicht,не разрешено
dicke Freunder,близкие друзья
dick,толстый
faul,ленивый
gelaunt,в хорошем настроении
der Quatsch (-es),ерунда
red keinen Quatsch,не говори глупостей
fleißig,прилежный
in allen Fächern,во всех областях
traurig,грустный
ernst,серьезный
der Mitschüler (-),одноклассник
klug,умный
nett,добрый
der Musikschule (-n),музыкальная школа
die Mathematik (-),математика
sportlich,спортивный
rechts,справа
links,слева
der Zwiling (-e),близнец
lustig,веселый
das Haustier,домашнее животное
der Hunger (-),"голод, жажда"
bald,скоро
die Ferien (pl),каникулы
der Geburtstag (-e),день рождения
das Fahrrad (-räder),велосипед
das Fieber,жар
der Kopschmerz (-en),головная боль
der Fach (Fächer),"область, предмет"
der Herbst (-),осень
der Winter (-),зима
der Frühling (-),весна
der Sommer (-),лето
die Note (-n),оценка
die Mitte (-),середина
aufhaben,иметь задание
der Block (Blöcke),блокнот
das Kunst (-¨e),искусство
haben Deutsch besonders gern,особенно нриавтся немецкий
der Pinsel (-),"кисть, кисточка"
hilfsbereit,готовность помочь
mithaben,иметь с собой
weich,мягкий
das Fell (-),шкура
der Schwanz (-¨e),хвотс
spitz,острый
das Ohr (-en),ухо
nett,милый
lieb,"милый, симпатичный"
hungrig,голодный
der Hof (-¨e),двор
der Schneeman (-männer),снеговик
die Lied (-er),песня
zuhören,слушать
das Diktat (-e),диктант
weit,далекий
die Ausflug (Ausflüge),экскурсия
rennen,бежать
faulenzen,лентяйничать
schaukeln,качаться
angeln,"вылавливать, ловить"
reden,говорить
ganz Tag,целый день
der Pilz (-e),гриб
das Stofftier,плюшевая игрушка
der Westen (-s),запад
reich,богатый
kennen noch niemanden,еще никого не знать
anfangen,начинать
durchlesen,прочитывать
klicken,щелкать
senden,отправлять
die Kasse (-n),касса
nochmals,еще раз
erklaren,объяснять
gelernen,учиться
kapieren,понимать
stark spanisch Akzent,сильный испанский аккцент
sprechen niemand Spanisch,никто не говорит по испански
versuchen,пробовать
besser,лучший
das Stadtzentrum (-s),центр города
durchgehen,проходить
die Fußbängerzone (-n),пешеходная зона
kriegen,получать
böse,плохой
beide,оба
verdienen,зарабатывать
schicken,посылать
der Stock (Stöcke),этаж
worden,становиться
die Hütte (-n),хижина
Sieh doch hur,только посмотри
nehmen,брать
fressen,есть
werfen,давать
einladen,приглашать
die Wette (-),спор
um die Wette,наперегонки
mitnehmen,брать с собой
das Märchen (-),сказка
laut,громкий
der Boden (Böden),Земля
streicheln,гладить
nun,"отныне, теперь"
reichen,тянуть
das Ostern (-),пасха
die Vorspeise (-n),закуска
das Hauptgericht (-e),основное блюдо
das Dessert (-e),десерт
der Elfmeter (-),пенальти
der Fan (-s),фанат
das Foul (-s),нарушение
der Fusball (-bälle),футбол
der Fußballplatz (-plätze),футбольное поле
der Gegenspieler (-),противник
die Halbzeit (-en),тайм
die Mannschaft (-en),команда
das Mittelfeld (-er),центр поля
der Mittelstürmer (-),центральный нападающий
das Netz (-e),сетка
die Niederlage (-n),защита
der Pokal (-e),кубок
der Schiedsrichter (-),рефери
der Sieg (-e),победа
das Spiel (-e),игра
der Spieler (-),игрок
das Spielfeld (-er),игровое поле
das Stadion (-en),стадион
der Stürmer (-),нападающий
das Tor (-e),ворота
der Torwart (-:wärter),вратарь
der Trainer (-),тренер
die Tribüne (-n),трибуна
die Verteidigung (-en),защита
die Weltmeisterschaft (-en),мировой чемпионат
berümt,известный
der Fußbalverein,футбольный клуб
vor allem,для всех
spannend,"увлекательный, захватывающий"
rund um,вокруг
beseitigen,устранять
der Zweifel (-),сомнения
das Dossier (-s),"досеь, дело"
dienen,служить
landeskundlichen,краеведческие знания
die Vertifung (-en),углубление
sowie,а также
erweitert,расширенный
schlank,стройный
ledig,холостой
was ist los?,что случилось?
der Mechaniker,механик
schließen,закрывать
das Auto (-s),автомобиль
die Kamera (-s),(фото)камера
der Koffer (-),чемодан
leer,пустой
eine Wohnung mieten,снимать квартиру
ziemlich,достаточно
der Herd (-e),плита
die Badewanne (-n),ванна
die Dusche (-n),душ
die Waschmaschine (-n),стиральная машина
kosten,стоить
die Toilette (-n),туалет
der Teller (-),тарелка
der Zucker (--),сахар
das Brot (-e),хлеб
das Ei (-er),яйцо
das Eis (--),мороженное
das Glas (-äser),стакан
die Gurke (-en),огурец
die Marmelade (-en),"джем, повидло"
die Tasse (-en),чашка
die Wurst (-e),колбаса
fallen,падать
lassen,оставлять
tragen,носить
waschen,мыть
die Mahlzeite (-en),прием пищи
die Mensa (-en),университетская столовая
das Gemüse,овощи
die Nudeln (pl),"макароны, лапша"
lecker,вкусный
der Schinken,ветчина
die Butter,масло
der Ausgang (-änge),выход
der Eingang (-änge),вход
der Preis (-e),цена
der Supermarkt (-ärkte),супермаркет
das Angebot(-e),предложение
das Getränk (-e),напиток
das Regal (-e),"стеллаж, полка"
die Kasse (-n),касса
die Tüte (-n),пакет
die Ware (-n),товар
der Liter (-),литр
das Kilo,килограмм
das Glas (-äser),банка (стеклянная)
das Stück(-e),кусок
die Dose (-n),банка (металлическая)
die Packung (-en),упаковка
die Lebensmittel,продукты
die Liste (-n),список
wiegen,взвешивать
die Sorte (-n),сорт
zum Schluss,в конце
bezahlen,оплачивать
packen,паковать
der Handschuh,перчатка
der Mantel,пальто
der Pullover,"джемпер, пуловер"
der Rock,юбка
der Schal,шарф
der Schuh,ботинок
das Hemd,рубашка
das Kleid,платье
die Bluse,блузка
die Hose,штаны
die Jacke,куртка
die Kleidung,одежда
dei Mütze,шапка
die Socke,носок
grau,серый
braun,коричневый
ein paar,несколько
der Herbst (-),осень
kühl,прохладный
die Markenkleidung,"""брендовая"" одежда"
schick,"нарядный, изящный"
der Bart,борода
der Kopf,голова
der Mund,рот
das Auge,глаз
der Schnurrbart,усы
das Haar,волос
die Figur,фигура
die Haut,кожа
die Lippe,губка
die Nase,нос
schlank,стройный
vollschlank,полный
schmal,узкий (лицо)
dünn,узкие (губы)
schulterlang,до плеч (волосы)
lockig,кудрявые (волосы)
wellig,волнистые (волосы)
blond,светлые (волосы)
rot,рыжие (волосы)
die Verwandten,родственники
… ist tot,... Умер
die Rentner,пенсионер
den Haushalt führen,вести хозяйство
das Weihnachten,рождество
feiern,праздновать
die Zeit verbringen,проводить время
die Prüfung (-en),экзамен
die Tafel (-n),доска
das Thema,тема
bestehen aus,состоять из
fehlen,отсутствовать
Platz nehmen,"садиться, занимать место"
mündlich,устно
schriflich,письменно
dauern,продолжаться
enden,заканчиваться
der Löffel,ложка
der Senf,горчица
die Gabel (-n),вилка
die Soße,соус
die Speise,блюдо
das Messer,нож
das Salz,соль
das Trinkgeld,чаевые
bestellen,заказывать
wüschen,желать
nach + Dat,после
zahlen,платить
Stimmt so,сдачи не надо
danken für + Akk,благодарить за
die Rechnung,счет
der Bahnhof,вокзал
der Fughafen,аэропорт
der Markt,рынок
die Apotheke,аптека
die Bank,банк
die Haltestelle,остановка
die Kirche,церковь
die Post,почта
das Krankenhaus,больница
die Straßenbahn,трамвай
die S-Bahn,городская электричка
das Schiff,корабль
nach dem Aufstehen,после подъема
der Briefkasten,почтовый ящик
aus dem Haus gehen,выходить из дома
bei schönem Wetter,в хорошую погоду
checken,проверять (эл. Почту)
leihen,брать взаймы
meiden,избегать
scheiden,"разделять, разводить"
schreien,кричать
schweigen,молчать
verzeihen,прощать
weisen,указывать
beißen,кусать
gleIchen,быть похожим
gleiten,скользить
greifen,"хватать, браться"
leiden,страдать
pfeifen,свистеть
reiten,ездить верхом
reißen,рвать
schneiden,резать
schreiten,"шагать, шествовать"
streichen,"красить, намазывать"
streiten,спорить
Krieg führen,вести войну
Land regieren,управлять страной
weniger Stahl,меньше стали
noch Kohle,еще уголь
Krise erleben,переживать кризис
wissenschaftlich Labor,научная лаборатория
Museen schaffen,создавать музеи
das undenkbar,это невообразимо
der Bergbau,горное дело
under die Erde gehen,спускатсья под землю
der Maschinenlärm,машинный зал
das Wrack,остаток
gehören zu,входить в
hübsch,красивый
irgenwie gefällt er mir nicht,мне он как-то не равится
sicher,раверняка
der Spiegel,зеркало
die Sendungen im Fensehen,передача по телевизору
beim Schreiben,при письмо
der Körper,тело
die Hose,брюки
der Stiefel,сапог
nich wahr,не так ли?
erwidern,отвечать
viel Spaß,приятно проводить время
die stillen Straßen,спокойные улицы
biegen,"гнуть, изгибать"
bieten,предлагать
fliegen,летать
fliehen,убегать
fließen,течь
frieren,мерзнуть
gießen,лить
genießen,наслаждаться
kriechen,"ползать, ползти"
riechen,"нюхать, пахнуть"
schieben,двигать
schießen,стрелять
schließen,закрывать
verlieren,"терять, проигрывать"
wiegen,"взвешивать, весить"
ziehen,тянуть
binden,завязывать
dringen,"настаивать, требовать"
finden,найти
gelingen,удаваться
klingen,звучать
singen,петь
sinken,погружаться
springen,прыгать
trinken,пить
verschwinden,исчезать
zwingen,принуждать
beginnen,начинать
gewinnen,"вигрывать, добывать"
schwimmen,плавать
der Bezirk,район
der Fahrradweg,велосипедная дорожка
der Fußweg,тротуар
der Stadtplan,"план, карта города"
die Ampfel,светофор
die Brücke,мост
die Kreuzung,перекресток
die Linie,"линия, маршрут транспорта"
die Richtung,направление
die Seite,сторона
das Rathaus,ратуша
das Schloss,замок
das Ticket,билет
das Tor,ворота
geradeaus,прямо
auf der linken Seite,на левой стороне
nicht weit,не далеко
die erste Straße rechts,первая улица направо
schließen ,закрывать
leise,тихий
wofür,для чего
sicht entschuldigen,извиняться
der Dolmetscher,переводчик
untergehen,заходить
einziehen,протягивать
die Eigenschaft,свойство
die Intelligenz,ум
die Sympathie,симпатия
die Erziehung,воспитание
die Attraktivität,обаяние
das Reichtum,богатство
die Eleganz,"элегантность, изящество"
der Angestellte,служащий
der Unternehmer,предприниматель
der Polizist,полицейский
der Künstler,Артист
der Tänzer,танцовщик
der Freiberufler,лицо свободной професии
regelmäßig,регулярный
das Gebirge,горы
die Bevölkerung,население
hauptsächlich,главный
befehlen,приказывать
bergen,"спасать, прятать"
bersten,трескаться
brechen,ломать
erschrecken,"пугать, испугать"
gelten,"считаться, относиться"
helfen,помогать
sprechen,говорить
stehlen,красть
sterben,умирать
treffen,встречать
werben,"набирать, рекламировать"
werfen,бросать
gebären,рожать
genesen,выздоравливать
geschehen,"происходить, случаться"
messen,измерять
treten,"наступать, пинать"
bitten,просить
graben,копать
schaffen,создавать
schlagen,бить
tragen,"нести, носить"
wachsen,расти
waschen,мыть
erwägen,"обдумывать, взвешивать"
flechten,"плести, вязать"
heben,"поднимать, повышать"
lügen,лгать
schmelzen,"таять, плавиться"
Das Halstuch,"шарф, косынка, шейный платок, галстук, кашне"
Das Hemd,"рубашка, сорочка, майка, футболка"
Das Jackett,"пиджак, китель, тужурка, жакет"
Das Käppchen,шапочка
Das Kleid,"платье, одежда"
Das Kleid-Anzug,платье-костюм
Das Kopftuch,"косынка, платок, головной платок"
Das Korsett,корсет
Das Männerhemd,мужская рубашка
Das Maxi,платье макси
Das Maxikleid,платье макси
Das Mini,мини-платье
Das Minikleid,мини-платье
Das Nachthemd,ночная сорочка
Das Sakko,пиджак
Das Sommerhütchen,детская панама
Das Taschentuch,носовой платок
Das T-Shirt,"футболка, майка"
Das Tuch,"платок, косынка, шаль"
Das Umschlagtuch,шаль
Das Unterhemd,"нижняя сорочка, майка"
Der Anorak,"спортивная куртка, штормовка"
Der Anzug,мужской костюм
Der Ärmel,рукав
Der Badeanzug,купальник
Der Bademantel,купальный халат
Der Bikini,бикини
Der Büstenhalter,бюстгальтер
Der Damenhu,дамская шляпа
Der Einreiher,однобортный пиджак
Der Fausthandschuh,"рукавица, варежка"
Der Gurt,"пояс, кушак, ремень"
Der Gürtel,"пояс, кушак, ремень"
Der Handschuh,перчатка
Der Hausmantel,халат
Der Helm,"каска, шлем"
Der Herrenanzug,мужской костюм
Der Herrenhut,мужская шляпа
Der Hosenanzug,брючный костюм
Der Hut,шляпа
Der Kapuzenmantel,плащ с капюшоном
Der Kimono,"кимоно, халат"
Der Kleiderhaken,"крючок, вешалка"
Der Klettenverschluß,застёжка-липучка
Der Knopf,пуговица
Der Kragen,воротник
Der Lammfellmantel,дубленка
Der Leibriemen,поясной ремень
Der Mantel,"пальто, плащ, шинель"
Der Maxirock,юбка макси
Der Minirock,мини-юбка
Der Overall,комбинезон
Der Panamahut,панама
Der Pelz,"меховое пальто, шуба, тулуп"
Der Pelzkragen,меховой воротник
Der Pelzmantel,"шуба, меховое пальто"
Der Pullover,"пуловер, джемпер, свитер"
Der Pyjama,пижама
Der Regenmantel,"плащ, дождевик"
Der Regenschirm,зонтик
Der Reiseanzug,дорожный костюм
